Person	Lord bishop diocese	Start year	Start month	Start day	End year	End month	End day	End reason	Note	Link on
Adie, Michael Edgar	Guildford (1927-)	1983			1994	9	30	Retirement		Guildford (1927-) - Adie, Michael Edgar
Allister, Donald Spargo	Peterborough (1541-)				2023	1	8	Retirement		Peterborough (1541-) - Allister, Donald Spargo
Atwell, Robert Ronald	Exeter (-)	2014	4	30						Exeter (-) - Atwell, Robert Ronald
Bailey, Jonathan Sansbury	Derby (1927-)	1995			2005	5	31	Retirement		Derby (1927-) - Bailey, Jonathan Sansbury
Baines, Nicholas	Leeds (2014-)	2014	6	8						Leeds (2014-) - Baines, Nicholas
Baines, Nicholas	Bradford (1919-2014)	2011	4	1	2014	4	20	Translation		Bradford (1919-2014) - Baines, Nicholas
Ball, Michael Thomas	Truro (1876-)	1990			1997	2	28	Retirement		Truro (1876-) - Ball, Michael Thomas
Barrington-Ward, Simon	Coventry (1918-)	1985			1997			Retirement		Coventry (1918-) - Barrington-Ward, Simon
Baughen, Michael Alfred	Chester (1541-)				1996	8	31	Retirement		Chester (1541-) - Baughen, Michael Alfred
Bavin, Timothy John	Portsmouth (1927-)	1985	1	7	1995	9	17	Retirement		Portsmouth (1927-) - Bavin, Timothy John
Bayes, Paul	Liverpool (1880-)	2014	7	23	2022	3	2	Retirement		Liverpool (1880-) - Bayes, Paul
Beasley, Noel Michael Roy	Bath and Wells (-)	2022	6	29						Bath and Wells (-) - Beasley, Noel Michael Roy
Bennetts, Colin James	Coventry (1918-)	1998			2008	1	31	Retirement		Coventry (1918-) - Bennetts, Colin James
Bentley, David Edward	Gloucester (1541-1552)	1993			2003	12	31	Retirement		Gloucester (1541-1552) - Bentley, David Edward
Bickersteth, John Monier	Bath and Wells (-)	1975	12	12	1987	10	31	Retirement		Bath and Wells (-) - Bickersteth, John Monier
Bowles, Cyril William Johnston	Derby (1927-)	1969			1987	11	30	Retirement		Derby (1927-) - Bowles, Cyril William Johnston
Butler, Paul Roger	Durham (-)	2014	1	20						Durham (-) - Butler, Paul Roger
Butler, Paul Roger	Southwell and Nottingham (1884-)				2014	1	20	Translation		Southwell and Nottingham (1884-) - Butler, Paul Roger
Butler, Thomas Frederick	Southwark (1905-)	1998			2010	3	5	Retirement		Southwark (1905-) - Butler, Thomas Frederick
Butler, Thomas Frederick	Leicester (1926-)	1991	7	1	1998			Translation		Leicester (1926-) - Butler, Thomas Frederick
Carey, George Leonard	Canterbury (-)	1991	3	27	2002	10	31	Retirement		Canterbury (-) - Carey, George Leonard
Carey, George Leonard	Bath and Wells (-)	1987			1991	3	27	Translation		Bath and Wells (-) - Carey, George Leonard
Cassidy, George Henry	Southwell and Nottingham (1884-)	1999			2009	8	31	Retirement		Southwell and Nottingham (1884-) - Cassidy, George Henry
Chartres, Richard John Carew	London (-)	1995	11		2017	3	31	Retirement		London (-) - Chartres, Richard John Carew
Chessun, Christopher Thomas James	Southwark (1905-)	2011	1	17						Southwark (1905-) - Chessun, Christopher Thomas James
Chesters, Alan David	Blackburn (1926-)	1989			2003	8	31	Retirement		Blackburn (1926-) - Chesters, Alan David
Cocksworth, Christopher John	Coventry (1918-)	2008								Coventry (1918-) - Cocksworth, Christopher John
Conway, Stephen David	Ely (-)	2010	12	6						Ely (-) - Conway, Stephen David
Cottrell, Stephen Geoffrey	York (-)	2020	7	9						York (-) - Cottrell, Stephen Geoffrey
Cottrell, Stephen Geoffrey	Chelmsford (1914-)	2010	10	6	2020	7	9	Translation		Chelmsford (1914-) - Cottrell, Stephen Geoffrey
Croft, Steven John Lindsey	Oxford (1542-)	2016	7	6						Oxford (1542-) - Croft, Steven John Lindsey
Croft, Steven John Lindsey	Sheffield (1914-)				2016	7	6	Translation		Sheffield (1914-) - Croft, Steven John Lindsey
Cross, David Stewart	Blackburn (1926-)	1982			1988	10	31	Retirement		Blackburn (1926-) - Cross, David Stewart
Cundy, Ian Patrick Martyn	Peterborough (1541-)	1996			2009	5	7	Death		Peterborough (1541-) - Cundy, Ian Patrick Martyn
Dakin, Timothy John	Winchester (-)	2011	12	20	2022	2	6	Retirement		Winchester (-) - Dakin, Timothy John
Dennis, John	St Edmundsbury and Ipswich (1914-)	1986			1996	9	30	Retirement		St Edmundsbury and Ipswich (1914-) - Dennis, John
Dow, Geoffrey Graham	Carlisle (-)				2009	4	30	Retirement		Carlisle (-) - Dow, Geoffrey Graham
Eastaugh, John Richard Gordon	Hereford (-)				1990	2	16	Death		Hereford (-) - Eastaugh, John Richard Gordon
Faull, Vivienne Frances	Bristol (1897-)	2018	6	25						Bristol (1897-) - Faull, Vivienne Frances
Forster, Peter Robert	Chester (1541-)				2019	9	30	Retirement		Chester (1541-) - Forster, Peter Robert
Foster, Christopher Richard James	Portsmouth (1927-)	2001			2021	5	31	Retirement		Portsmouth (1927-) - Foster, Christopher Richard James
Francis-Dehqani, Gulnar Eleanor	Chelmsford (1914-)	2021	3	11						Chelmsford (1914-) - Francis-Dehqani, Gulnar Eleanor
Frith, Richard Michael Cokayne	Hereford (-)	2014	10	17	2019	11	30	Retirement		Hereford (-) - Frith, Richard Michael Cokayne
Frost, Jonathan Hugh	Portsmouth (1927-)	2022	1	18						Portsmouth (1927-) - Frost, Jonathan Hugh
Gibbs, Jonathan Robert	Rochester (-)	2022	5	24						Rochester (-) - Gibbs, Jonathan Robert
Gladwin, John Warren	Guildford (1927-)	1994						Translation		Guildford (1927-) - Gladwin, John Warren
Gladwin, John Warren	Chelmsford (1914-)				2009	8	31	Retirement		Chelmsford (1914-) - Gladwin, John Warren
Gledhill, Jonathan Michael	Lichfield (-)	2003			2015	9	30	Retirement		Lichfield (-) - Gledhill, Jonathan Michael
Goodrich, Philip Harold Ernest	Worcester (-)	1982			1996	10	31	Retirement		Worcester (-) - Goodrich, Philip Harold Ernest
Graham, Andrew Alexander Kenny	Newcastle (1882-)	1981	6	29	1997	6	30	Retirement		Newcastle (1882-) - Graham, Andrew Alexander Kenny
Habgood, John Stapylton	York (-)	1983			1995	9		Retirement		York (-) - Habgood, John Stapylton
Habgood, John Stapylton	Durham (-)	1973			1983			Translation		Durham (-) - Habgood, John Stapylton
Hancock, Peter	Bath and Wells (-)	2014	3	4	2021			Retirement		Bath and Wells (-) - Hancock, Peter
Hardman, Christine Elizabeth	Newcastle (1882-)	2015	9	22	2021	11	30	Retirement		Newcastle (1882-) - Hardman, Christine Elizabeth
Hardy, Robert Maynard	Lincoln (-)	1987			2001	10	31	Retirement		Lincoln (-) - Hardy, Robert Maynard
Harland, Ian	Carlisle (-)	1989			2000	5	31	Retirement		Carlisle (-) - Harland, Ian
Harries, Richard Douglas	Oxford (1542-)				2006	6	2	Retirement		Oxford (1542-) - Harries, Richard Douglas
Harris, Patrick Burnet	Southwell and Nottingham (1884-)	1988			1999	4	30	Retirement		Southwell and Nottingham (1884-) - Harris, Patrick Burnet
Hartley, Helen-Ann Macleod	Newcastle (1882-)	2023	2	3						Newcastle (1882-) - Hartley, Helen-Ann Macleod
Henderson, Julian Tudor	Blackburn (1926-)	2013	9	30	2022	8	31	Retirement		Blackburn (1926-) - Henderson, Julian Tudor
Herbert, Christopher William	St Albans (1877-)	1996			2009	1	7	Retirement		St Albans (1877-) - Herbert, Christopher William
Hill, Christopher John	Guildford (1927-)	2004			2013	11	30	Retirement		Guildford (1927-) - Hill, Christopher John
Hill, Michael Arthur	Bristol (1897-)				2017	9	30	Retirement		Bristol (1897-) - Hill, Michael Arthur
Hind, John William	Chichester (-)	2001			2012	4	30	Retirement		Chichester (-) - Hind, John William
Holtam, Nicholas Roderick	Salisbury (-)	2011	7	21	2021	7	3	Retirement		Salisbury (-) - Holtam, Nicholas Roderick
Hope, David Michael	York (-)	1995			2005	2	28	Retirement		York (-) - Hope, David Michael
Hope, David Michael	London (-)	1990	7	2	1995			Translation		London (-) - Hope, David Michael
Hope, David Michael	Wakefield (1888-2014)	1985			1990	7	2	Translation		Wakefield (1888-2014) - Hope, David Michael
Ind, William	Truro (1876-)	1997			2008	4	30	Retirement		Truro (1876-) - Ind, William
Inge, John Geoffrey	Worcester (-)	2007	11	20						Worcester (-) - Inge, John Geoffrey
Ipgrave, Michael Geoffrey	Lichfield (-)	2016	6	10						Lichfield (-) - Ipgrave, Michael Geoffrey
Jackson, Richard Charles	Hereford (-)	2020	1	7						Hereford (-) - Jackson, Richard Charles
James, Colin Clement Walter	Winchester (-)	1985	6		1995			Retirement		Winchester (-) - James, Colin Clement Walter
James, Colin Clement Walter	Wakefield (1888-2014)	1977	1	7	1985	6		Translation		Wakefield (1888-2014) - James, Colin Clement Walter
James, David Charles	Bradford (1919-2014)	2002	11		2010	7	14	Retirement		Bradford (1919-2014) - James, David Charles
James, Graham Richard	Norwich (-)				2019	2	28	Retirement		Norwich (-) - James, Graham Richard
Jenkins, David Edward	Durham (-)	1984			1994	7	6	Retirement		Durham (-) - Jenkins, David Edward
Jones, James Stuart	Liverpool (1880-)	1998			2013	8	31	Retirement		Liverpool (1880-) - Jones, James Stuart
Kemp, Eric Waldram	Chichester (-)	1974			2001	1	31	Retirement		Chichester (-) - Kemp, Eric Waldram
Lake, Stephen David	Salisbury (-)	2022	4	1						Salisbury (-) - Lake, Stephen David
Lane, Elizabeth Jane Holden	Derby (1927-)	2019	2	11						Derby (1927-) - Lane, Elizabeth Jane Holden
Langrish, Michael Laurence	Exeter (-)				2013	8	31	Retirement		Exeter (-) - Langrish, Michael Laurence
Langstaff, James Henry	Rochester (-)	2010			2021	7	31	Retirement		Rochester (-) - Langstaff, James Henry
Leonard, Graham Douglas	London (-)	1981	7	21	1991	5	8	Retirement		London (-) - Leonard, Graham Douglas
Leonard, Graham Douglas	Truro (1876-)	1973			1981	7	21	Translation		Truro (1876-) - Leonard, Graham Douglas
Lewis, John Hubert Richard	St Edmundsbury and Ipswich (1914-)	1997			2007	7	31	Retirement		St Edmundsbury and Ipswich (1914-) - Lewis, John Hubert Richard
Lowson, Christopher	Lincoln (-)	2011	7	19	2021	12	31	Retirement		Lincoln (-) - Lowson, Christopher
Lunn, David Ramsay	Sheffield (1914-)				1997	8	31	Retirement		Sheffield (1914-) - Lunn, David Ramsay
Mayfield, Christopher John	Manchester (1847-)	1993			2002	9	30	Retirement		Manchester (1847-) - Mayfield, Christopher John
McCulloch, Nigel Simeon	Manchester (1847-)	2002	12		2013	1	17	Retirement		Manchester (1847-) - McCulloch, Nigel Simeon
McCulloch, Nigel Simeon	Wakefield (1888-2014)	1992			2002	12		Translation		Wakefield (1888-2014) - McCulloch, Nigel Simeon
Montefiore, Hugh William	Birmingham (1905-)	1978	2	23	1987			Retirement		Birmingham (1905-) - Montefiore, Hugh William
Mounstephen, Philip Ian	Truro (1876-)	2018	11	20						Truro (1876-) - Mounstephen, Philip Ian
Mullally, Sarah Elisabeth	London (-)	2018	3	8						London (-) - Mullally, Sarah Elisabeth
Nazir-Ali, Michael James	Rochester (-)	1994			2009	8	31	Retirement		Rochester (-) - Nazir-Ali, Michael James
Newcome, James William Scobie	Carlisle (-)	2009								Carlisle (-) - Newcome, James William Scobie
Nicholls, John	Sheffield (1914-)	1997			2008	7	16	Retirement		Sheffield (1914-) - Nicholls, John
Nott, Peter John	Norwich (-)	1985			1999	7	31	Retirement		Norwich (-) - Nott, Peter John
Oliver, John Keith	Hereford (-)	1990			2003	11	30	Retirement		Hereford (-) - Oliver, John Keith
Packer, John Richard	Ripon and Leeds (1836-2014)	2000			2014	1	31	Retirement		Ripon and Leeds (1836-2014) - Packer, John Richard
Perham, Michael Francis	Gloucester (1554-)	2004			2014	11	21	Retirement		Gloucester (1554-) - Perham, Michael Francis
Perry, John Freeman	Chelmsford (1914-)	1996			2003	6	30	Retirement		Chelmsford (1914-) - Perry, John Freeman
Perumbalath, John	Liverpool (1880-)	2023	1	20						Liverpool (1880-) - Perumbalath, John
Platten, Stephen George	Wakefield (1888-2014)				2014	4	20	Retirement		Wakefield (1888-2014) - Platten, Stephen George
Price, Peter Bryan	Bath and Wells (-)				2013	6	30	Retirement		Bath and Wells (-) - Price, Peter Bryan
Priddis, Anthony Martin	Hereford (-)	2004			2013	9	24	Retirement		Hereford (-) - Priddis, Anthony Martin
Pritchard, John Lawrence	Oxford (1542-)	2007	3	23	2014	10	31	Retirement		Oxford (1542-) - Pritchard, John Lawrence
Reade, Nicholas Stewart	Blackburn (1926-)				2012	10	31	Retirement		Blackburn (1926-) - Reade, Nicholas Stewart
Redfern, Alastair Llewellyn John	Derby (1927-)	2005			2018	8	31	Retirement		Derby (1927-) - Redfern, Alastair Llewellyn John
Rogerson, Barry	Bristol (1897-)	1985			2002	11	30	Retirement		Bristol (1897-) - Rogerson, Barry
Russell, Anthony John	Ely (-)	2000			2010	2	28	Retirement		Ely (-) - Russell, Anthony John
Rutt, Cecil Richard	Leicester (1926-)				1990			Retirement		Leicester (1926-) - Rutt, Cecil Richard
Santer, Mark	Birmingham (1905-)	1987			2002	5	31	Retirement		Birmingham (1905-) - Santer, Mark
Saxbee, John Charles	Lincoln (-)				2011	1	31	Retirement		Lincoln (-) - Saxbee, John Charles
Scott-Joynt, Michael Charles	Winchester (-)	1995			2011	5	31	Retirement		Winchester (-) - Scott-Joynt, Michael Charles
Seeley, Martin Alan	St Edmundsbury and Ipswich (1914-)	2015	5	7						St Edmundsbury and Ipswich (1914-) - Seeley, Martin Alan
Selby, Peter Stephen Maurice	Worcester (-)	1997			2007	9	30	Retirement		Worcester (-) - Selby, Peter Stephen Maurice
Sentamu, John Tucker Mugabi	York (-)	2005	10	5	2020	6	7	Retirement		York (-) - Sentamu, John Tucker Mugabi
Sentamu, John Tucker Mugabi	Birmingham (1905-)	2002			2005	10	5	Translation		Birmingham (1905-) - Sentamu, John Tucker Mugabi
Smith, Alan Gregory Clayton	St Albans (1877-)	2009	3	31						St Albans (1877-) - Smith, Alan Gregory Clayton
Smith, David James	Bradford (1919-2014)	1992			2002	7	31	Retirement		Bradford (1919-2014) - Smith, David James
Snow, Martyn James	Leicester (1926-)	2016	2	22						Leicester (1926-) - Snow, Martyn James
Stancliffe, David Staffurth	Salisbury (-)	1993			2010	9	30	Retirement		Salisbury (-) - Stancliffe, David Staffurth
Stevens, Timothy John	Leicester (1926-)	1999			2015	8	31	Retirement		Leicester (1926-) - Stevens, Timothy John
Stevenson, Kenneth William	Portsmouth (1927-)	1995			2009	9	30	Retirement		Portsmouth (1927-) - Stevenson, Kenneth William
Stock, William Nigel	St Edmundsbury and Ipswich (1914-)	2007	10	22	2013	10	21	Retirement		St Edmundsbury and Ipswich (1914-) - Stock, William Nigel
Sutton, Keith Norman	Lichfield (-)				2003	5	13	Retirement		Lichfield (-) - Sutton, Keith Norman
Sykes, Stephen Whitefield	Ely (-)	1990			1999	7	31	Retirement		Ely (-) - Sykes, Stephen Whitefield
Tanner, Mark Simon Austin	Chester (1541-)	2020	7	15						Chester (1541-) - Tanner, Mark Simon Austin
Taylor, John Bernard	St Albans (1877-)	1980			1995	10	31	Retirement		St Albans (1877-) - Taylor, John Bernard
Thompson, Geoffrey Hewlett	Exeter (-)	1985			1999	8	14	Retirement		Exeter (-) - Thompson, Geoffrey Hewlett
Thompson, James Lawton	Bath and Wells (-)	1991			2001	12	31	Retirement		Bath and Wells (-) - Thompson, James Lawton
Thornton, Timothy Martin	Truro (1876-)				2017	8	31	Retirement		Truro (1876-) - Thornton, Timothy Martin
Treweek, Rachel	Gloucester (1554-)	2015	6	15						Gloucester (1554-) - Treweek, Rachel
Turnbull, Anthony Michael Arnold	Durham (-)	1994	7	6	2003	4	30	Retirement		Durham (-) - Turnbull, Anthony Michael Arnold
Turnbull, Anthony Michael Arnold	Rochester (-)	1988			1994	7	6	Translation		Rochester (-) - Turnbull, Anthony Michael Arnold
Urquhart, David Andrew	Birmingham (1905-)	2006			2022	10	18	Retirement		Birmingham (1905-) - Urquhart, David Andrew
Usher, Graham Barham	Norwich (-)	2019	6	17						Norwich (-) - Usher, Graham Barham
Waine, John	Chelmsford (1914-)	1986			1996	4	30	Retirement		Chelmsford (1914-) - Waine, John
Waine, John	St Edmundsbury and Ipswich (1914-)	1978	11	21	1986			Translation		St Edmundsbury and Ipswich (1914-) - Waine, John
Walker, David Stuart	Manchester (1847-)	2013	10	7						Manchester (1847-) - Walker, David Stuart
Walker, Peter Knight	Ely (-)	1977			1989	12	6	Retirement		Ely (-) - Walker, Peter Knight
Warner, Martin Clive	Chichester (-)	2012	7	2						Chichester (-) - Warner, Martin Clive
Watson, Andrew John	Guildford (1927-)	2014	11	24						Guildford (1927-) - Watson, Andrew John
Welby, Justin Portal	Canterbury (-)	2013	2	4						Canterbury (-) - Welby, Justin Portal
Welby, Justin Portal	Durham (-)	2011	9	29	2013	2	4	Translation		Durham (-) - Welby, Justin Portal
Westwood, William John	Peterborough (1541-)	1984			1995	12	28	Retirement		Peterborough (1541-) - Westwood, William John
Wharton, John Martin	Newcastle (1882-)	1997			2014	11	30	Retirement		Newcastle (1882-) - Wharton, John Martin
Wilcox, Peter Jonathan	Sheffield (1914-)	2017	6	5						Sheffield (1914-) - Wilcox, Peter Jonathan
Williams, Paul Gavin	Southwell and Nottingham (1884-)	2015	5	8						Southwell and Nottingham (1884-) - Williams, Paul Gavin
Williams, Rowan Douglas	Canterbury (-)	2002	12	2	2012	12	31	Retirement		Canterbury (-) - Williams, Rowan Douglas
Williamson, Robert Kerr	Southwark (1905-)	1991			1998			Retirement		Southwark (1905-) - Williamson, Robert Kerr
Williamson, Robert Kerr	Bradford (1919-2014)	1984			1991			Translation		Bradford (1919-2014) - Williamson, Robert Kerr
Wright, Nicholas Thomas	Durham (-)	2003			2010	8	31	Retirement		Durham (-) - Wright, Nicholas Thomas
Yates, John	Gloucester (1554-)	1975			1991	10	31	Retirement		Gloucester (1554-) - Yates, John
Young, David Nigel de Lorentz	Ripon and Leeds (1836-2014)	1977			1999	9	2	Retirement		Ripon and Leeds (1836-2014) - Young, David Nigel de Lorentz