Bath and Wells (-) - Carey, George Leonard	Canterbury (-) - Carey, George Leonard	
Birmingham (1905-) - Sentamu, John Tucker Mugabi	York (-) - Sentamu, John Tucker Mugabi	
Bradford (1919-2014) - Baines, Nicholas	Leeds (2014-) - Baines, Nicholas	
Bradford (1919-2014) - Williamson, Robert Kerr	Southwark (1905-) - Williamson, Robert Kerr	
Chelmsford (1914-) - Cottrell, Stephen Geoffrey	York (-) - Cottrell, Stephen Geoffrey	
Durham (-) - Habgood, John Stapylton	York (-) - Habgood, John Stapylton	
Durham (-) - Welby, Justin Portal	Canterbury (-) - Welby, Justin Portal	
Guildford (1927-) - Gladwin, John Warren	Chelmsford (1914-) - Gladwin, John Warren	
Leicester (1926-) - Butler, Thomas Frederick	Southwark (1905-) - Butler, Thomas Frederick	
London (-) - Hope, David Michael	York (-) - Hope, David Michael	
Rochester (-) - Turnbull, Anthony Michael Arnold	Durham (-) - Turnbull, Anthony Michael Arnold	
Sheffield (1914-) - Croft, Steven John Lindsey	Oxford (1542-) - Croft, Steven John Lindsey	
Southwell and Nottingham (1884-) - Butler, Paul Roger	Durham (-) - Butler, Paul Roger	
St Edmundsbury and Ipswich (1914-) - Waine, John	Chelmsford (1914-) - Waine, John	
Truro (1876-) - Leonard, Graham Douglas	London (-) - Leonard, Graham Douglas	
Wakefield (1888-2014) - Hope, David Michael	London (-) - Hope, David Michael	
Wakefield (1888-2014) - James, Colin Clement Walter	Winchester (-) - James, Colin Clement Walter	
Wakefield (1888-2014) - McCulloch, Nigel Simeon	Manchester (1847-) - McCulloch, Nigel Simeon	